n,Average Runtime
4000,5.960166454315186e-05
4011,6.22674822807312e-05
4022,6.364695727825164e-05
4033,0.00011686105281114579
4044,6.749015301465988e-05
4055,6.109848618507385e-05
4066,6.371159106492996e-05
4077,6.366893649101257e-05
4088,6.48297369480133e-05
4099,6.621647626161575e-05
4110,6.174370646476746e-05
4121,6.411615759134292e-05
4132,6.385147571563721e-05
4143,6.726142019033431e-05
4154,6.419811397790909e-05
4165,6.492417305707932e-05
4176,6.432421505451203e-05
4187,6.444714963436127e-05
4198,6.684046238660812e-05
4209,7.434561848640442e-05
4220,6.822962313890457e-05
4231,7.003452628850937e-05
4242,6.749052554368972e-05
4253,6.636772304773331e-05
4264,7.108785212039948e-05
4275,6.333738565444946e-05
4286,7.380209863185882e-05
4297,6.742198020219803e-05
4308,6.858035922050477e-05
4319,6.821490824222564e-05
4330,6.498638540506363e-05
4341,6.645023822784423e-05
4352,6.640367209911346e-05
4363,6.692688912153244e-05
4374,6.918124854564667e-05
4385,6.666779518127441e-05
4396,6.866492331027984e-05
4407,6.824899464845658e-05
4418,7.839128375053406e-05
4429,6.940830498933793e-05
4440,6.744526326656342e-05
4451,6.628464907407761e-05
4462,6.931032985448837e-05
4473,7.050372660160065e-05
4484,8.066929876804352e-05
4495,6.875805556774139e-05
4506,6.768759340047836e-05
4517,6.906148046255111e-05
4528,6.999634206295013e-05
4539,7.12299719452858e-05
4550,6.810240447521209e-05
4561,6.968770176172257e-05
4572,7.04437494277954e-05
4583,7.356330752372742e-05
4594,7.327497005462646e-05
4605,6.929617375135421e-05
4616,7.092468440532685e-05
4627,7.061697542667388e-05
4638,9.2322938144207e-05
4649,7.217377424240112e-05
4660,6.983168423175811e-05
4671,7.015522569417954e-05
4682,7.095709443092347e-05
4693,7.333829998970031e-05
4704,7.256288081407547e-05
4715,7.035098969936371e-05
4726,7.212217897176743e-05
4737,7.267650216817856e-05
4748,7.490068674087524e-05
4759,7.29413703083992e-05
4770,7.158461958169937e-05
4781,7.143169641494751e-05
4792,7.381830364465714e-05
4803,7.661823183298111e-05
4814,7.524732500314712e-05
4825,7.1791373193264e-05
4836,7.328968495130539e-05
4847,7.51866027712822e-05
4858,7.454566657543183e-05
4869,7.591061294078826e-05
4880,7.763374596834183e-05
4891,7.4806809425354e-05
4902,7.428117096424103e-05
4913,7.420480251312256e-05
4924,7.542837411165238e-05
4935,7.377304136753082e-05
4946,7.539484649896622e-05
4957,7.412061095237731e-05
4968,8.177999407052994e-05
4979,7.65923410654068e-05
4990,7.406119257211686e-05
5001,7.452480494976043e-05
5012,7.492247968912124e-05
5023,7.672719657421112e-05
5034,7.792860269546509e-05
5045,7.569026201963425e-05
5056,7.585734128952026e-05
5067,7.734280079603195e-05
5078,7.723458111286163e-05
5089,7.854178547859192e-05
5100,7.506683468818664e-05
5111,8.428897708654404e-05
5122,7.796995341777802e-05
5133,7.845014333724975e-05
5144,7.922146469354629e-05
5155,7.635615766048432e-05
5166,7.803905755281449e-05
5177,7.792748510837555e-05
5188,7.906313985586166e-05
5199,7.932763546705245e-05
5210,7.755495607852936e-05
5221,7.741022855043412e-05
5232,7.968805730342864e-05
5243,8.074082434177399e-05
5254,8.02731141448021e-05
5265,7.827840745449066e-05
5276,7.869340479373931e-05
5287,7.864534854888916e-05
5298,8.106734603643417e-05
5309,8.134264498949051e-05
5320,9.96885821223259e-05
5331,8.968617767095566e-05
5342,7.994398474693298e-05
5353,8.048638701438904e-05
5364,8.059199899435043e-05
5375,7.88150355219841e-05
5386,8.041374385356904e-05
5397,8.196029812097549e-05
5408,8.182395249605179e-05
5419,8.299928158521652e-05
5430,8.022710680961609e-05
5441,8.241534233093262e-05
5452,8.143354207277299e-05
5463,8.267778903245926e-05
5474,8.365698158740997e-05
5485,8.097980171442031e-05
5496,8.238404989242553e-05
5507,8.286796510219574e-05
5518,8.367281407117844e-05
5529,8.358694612979889e-05
5540,8.223522454500198e-05
5551,8.204802870750427e-05
5562,8.276980370283126e-05
5573,8.411556482315063e-05
5584,8.363984525203705e-05
5595,8.27910378575325e-05
5606,8.301772177219391e-05
5617,8.437186479568482e-05
5628,8.515752851963043e-05
5639,8.565206080675125e-05
5650,8.305348455905914e-05
5661,8.408240973949433e-05
5672,8.379574865102768e-05
5683,8.831936866044998e-05
5694,8.750427514314651e-05
5705,8.400976657867432e-05
5716,8.500292897224426e-05
5727,8.518397808074952e-05
5738,8.689910173416137e-05
5749,8.741673082113266e-05
5760,8.411165326833725e-05
5771,8.559748530387879e-05
5782,8.679684251546859e-05
5793,8.699223399162292e-05
5804,8.64662230014801e-05
5815,8.618161082267762e-05
5826,8.624065667390823e-05
5837,8.69300216436386e-05
5848,8.832905441522599e-05
5859,8.897669613361359e-05
5870,8.654743432998658e-05
5881,8.602291345596313e-05
5892,8.834954351186753e-05
5903,8.751843124628067e-05
5914,8.882824331521988e-05
5925,8.599162101745606e-05
5936,8.726250380277633e-05
5947,8.877292275428772e-05
5958,8.900221437215805e-05
5969,8.989926427602768e-05
5980,8.748676627874374e-05
5991,8.885245770215989e-05
6002,8.688606321811676e-05
6013,8.943732827901841e-05
6024,9.06623899936676e-05
6035,8.781589567661286e-05
6046,8.948035538196564e-05
6057,8.952375501394271e-05
6068,9.071771055459976e-05
6079,9.045228362083435e-05
6090,8.797962218523025e-05
6101,9.490232914686204e-05
6112,8.988641202449799e-05
6123,9.129326790571212e-05
6134,9.183250367641448e-05
6145,8.969791233539581e-05
6156,9.09559428691864e-05
6167,9.13558527827263e-05
6178,9.199995547533035e-05
6189,9.268000721931457e-05
6200,9.00406390428543e-05
6211,9.089633822441101e-05
6222,9.199623018503189e-05
6233,9.154342114925385e-05
6244,9.389370679855347e-05
6255,9.045153856277466e-05
6266,9.258314967155456e-05
6277,9.187683463096619e-05
6288,9.321458637714385e-05
6299,9.442679584026337e-05
6310,9.115114808082581e-05
6321,9.253248572349548e-05
6332,9.330548346042633e-05
6343,9.475499391555786e-05
6354,9.37270000576973e-05
6365,9.25326719880104e-05
6376,9.282901883125305e-05
6387,9.386669844388962e-05
6398,9.521767497062683e-05
6409,9.519848972558976e-05
6420,9.319987148046494e-05
6431,9.392276406288147e-05
6442,9.512696415185929e-05
6453,9.45134088397026e-05
6464,9.575467556715012e-05
6475,9.305234998464584e-05
6486,9.439066052436828e-05
6497,9.576957672834397e-05
6508,9.58319753408432e-05
6519,9.73111018538475e-05
6530,9.430199861526489e-05
6541,9.638778865337372e-05
6552,9.508412331342697e-05
6563,9.637456387281417e-05
6574,9.782463312149047e-05
6585,9.474307298660279e-05
6596,9.618327021598816e-05
6607,9.638238698244095e-05
6618,9.780898690223694e-05
6629,9.813196957111358e-05
6640,9.663403034210205e-05
6651,9.568911045789718e-05
6662,9.741578251123428e-05
6673,9.83361154794693e-05
6684,9.90869477391243e-05
6695,9.804721921682357e-05
6706,9.793732315301895e-05
6717,9.906850755214691e-05
6728,9.903404861688614e-05
6739,0.00010007154196500778
6750,9.627509862184525e-05
6761,9.79183241724968e-05
6772,9.946785867214203e-05
6783,9.962841868400573e-05
6794,0.00010158773511648178
6805,9.740740060806274e-05
6816,9.895265102386475e-05
6827,9.98128205537796e-05
6838,0.00010074358433485032
6849,0.00010160021483898162
6860,9.807907044887543e-05
6871,9.973403066396714e-05
6882,0.00010073613375425339
6893,0.00010214410722255706
6904,0.0001008249819278717
6915,9.981952607631683e-05
6926,0.00010257549583911896
6937,0.0001012951135635376
6948,0.00010249223560094833
6959,0.00010226145386695861
6970,0.00010012388229370117
6981,0.0001009950414299965
6992,0.00010261125862598419
